filename,topic_id,topic_keywords
114.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
115.txt,-1,Outlier
116.txt,-1,Outlier
117.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
118.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
119.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
120.txt,-1,Outlier
121.txt,-1,Outlier
122.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
123.txt,-1,Outlier
124.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
125.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
126.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
127.txt,-1,Outlier
128.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
129.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
130.txt,-1,Outlier
131.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
132.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
133.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
134.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
135.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
136.txt,-1,Outlier
137.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
138.txt,-1,Outlier
139.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
140.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
141.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
142.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
143.txt,-1,Outlier
144.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
145.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
146.txt,-1,Outlier
147.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
148.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
149.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
150.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
151.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
152.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
153.txt,-1,Outlier
154.txt,-1,Outlier
155.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
156.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
157.txt,-1,Outlier
158.txt,-1,Outlier
159.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
160.txt,-1,Outlier
161.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
162.txt,-1,Outlier
163.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
164.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
165.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
166.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
167.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
168.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
169.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
170.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
171.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
